iterCount,type,time,latitude,longitude,depth,scalar,AnomalyScore,AnomalyMean_Windowsize,AnomalyLikelihood,logLikelihood,place,id,prediction
16,earthquake,2010-05-17T22:03:47.590Z,46.29,152.015,72.9,5.3,1.0,"(1.0, None)",0.5,0.0301029996658834,Kuril Islands,usp000hcw0,None
17,earthquake,2010-05-18T09:45:22.210Z,-62.838,166.091,10,5.3,1.0,"(1.0, None)",0.5,0.0301029996658834,Balleny Islands region,usp000hcwh,None
18,earthquake,2010-05-18T11:59:57.840Z,-7.845,107.22,34.2,5.3,1.0,"(1.0, None)",0.5,0.0301029996658834,"Java, Indonesia",usp000hcws,None
19,earthquake,2010-05-18T15:32:32.970Z,13.135,51.106,10,5,1.0,"(1.0, None)",0.5,0.0301029996658834,Gulf of Aden,usp000hcwz,None
20,earthquake,2010-05-19T00:13:21.120Z,-6.641,105.161,38.9,5.4,1.0,"(1.0, None)",0.5,0.0301029996658834,"Sunda Strait, Indonesia",usp000hcxa,None
21,earthquake,2010-05-19T01:36:32.860Z,-13.098,167.121,203.5,5.4,1.0,"(1.0, None)",0.5,0.0301029996658834,Vanuatu,usp000hcxf,None
22,earthquake,2010-05-19T04:15:43.230Z,-5.083,-77.541,132,6,1.0,"(1.0, None)",0.5,0.0301029996658834,northern Peru,usp000hcxh,None
23,earthquake,2010-05-19T05:43:31.100Z,-12.113,65.547,10,5.1,1.0,"(1.0, None)",0.5,0.0301029996658834,Mid-Indian Ridge,usp000hcxn,None
24,earthquake,2010-05-19T10:30:10.400Z,-54.8,-135.252,10,6,1.0,"(1.0, None)",0.5,0.0301029996658834,Pacific-Antarctic Ridge,usp000hcxv,None
25,earthquake,2010-05-19T10:39:06.230Z,-41.239,-88.467,10,5.4,1.0,"(1.0, None)",0.5,0.0301029996658834,West Chile Rise,usp000hcxw,None
26,earthquake,2010-05-19T10:51:03.080Z,-54.843,-135.398,10,6,1.0,"(1.0, None)",0.5,0.0301029996658834,Pacific-Antarctic Ridge,usp000hcxy,None
27,earthquake,2010-05-19T12:42:09.680Z,-6.532,128.273,306.2,5,1.0,"(1.0, None)",0.5,0.0301029996658834,Banda Sea,usp000hcxz,None
28,earthquake,2010-05-20T00:44:58.620Z,-56.87,-143.132,10,5.6,1.0,"(1.0, None)",0.5,0.0301029996658834,Pacific-Antarctic Ridge,usp000hcyh,None
29,earthquake,2010-05-20T01:43:50.040Z,-55.501,-26.291,10,5,1.0,"(1.0, None)",0.5,0.0301029996658834,South Sandwich Islands region,usp000hcyj,None
30,earthquake,2010-05-20T08:06:28.760Z,-39.063,-92.159,10,5.9,1.0,"(1.0, None)",0.5,0.0301029996658834,southeast of Easter Island,usp000hcyw,None
31,earthquake,2010-05-20T22:16:30.700Z,9.247,-84.302,21,5.9,1.0,"(1.0, None)",0.5,0.0301029996658834,Costa Rica,usp000hczt,None
32,earthquake,2010-05-21T01:05:52.970Z,-20.197,-174.005,52.3,5,1.0,"(1.0, None)",0.5,0.0301029996658834,Tonga,usp000hczz,None
33,earthquake,2010-05-21T13:02:21.740Z,-25.808,-66.736,10,5.1,1.0,"(1.0, None)",0.5,0.0301029996658834,"Salta, Argentina",usp000hd0g,None
34,earthquake,2010-05-21T15:56:30.500Z,-38.689,-91.372,10,5,1.0,"(1.0, None)",0.5,0.0301029996658834,West Chile Rise,usp000hd0m,None
35,earthquake,2010-05-21T15:56:32.000Z,-39.75,-91.75,10,5,1.0,"(1.0, None)",0.5,0.0301029996658834,West Chile Rise,gcmt20100521155632,None
36,earthquake,2010-05-21T17:52:19.450Z,8.273,-102.973,10,5.1,1.0,"(1.0, None)",0.5,0.0301029996658834,northern East Pacific Rise,usp000hd0p,None
